	PLAYER	2018/19 	2018/19(*)
226.	Alex Len	$4,350,000	$4,421,709
227.	Mike Scott	$4,320,500	$4,391,722
227.	Luc Mbah a Moute	$4,320,500	$4,391,722
229.	Emmanuel Mudiay	$4,294,479	$4,365,272
230.	Kris Dunn	$4,221,000	$4,290,582
231.	Frank Ntilikina	$4,155,720	$4,224,226
232.	Glenn Robinson III	$4,075,000	$4,142,175
233.	Collin Sexton	$4,073,760	$4,140,915
234.	Al Jefferson	$4,000,000	$4,065,939
235.	Stanley Johnson	$3,940,401	$4,005,357
236.	Buddy Hield	$3,833,760	$3,896,958
237.	Dennis Smith	$3,819,960	$3,882,931
238.	Jodie Meeks	$3,774,176	$3,836,391
239.	Kevin Knox	$3,744,840	$3,806,573
240.	Jose Juan Barea	$3,710,850	$3,772,022
241.	Alex Abrines	$3,667,645	$3,728,105
242.	Nenê	$3,651,480	$3,711,674
243.	Zach Collins	$3,628,920	$3,688,742
244.	Frank Kaminsky	$3,627,842	$3,687,646
245.	Mikal Bridges	$3,557,400	$3,616,043
246.	Michael Beasley	$3,500,000	$3,557,696
247.	Jamal Murray	$3,499,800	$3,557,493
248.	Rodney Hood	$3,472,887	$3,530,137
249.	Justise Winslow	$3,448,926	$3,505,781
250.	Malik Monk	$3,447,480	$3,504,311
251.	Cameron Payne	$3,440,356	$3,497,068
252.	Allonzo Trier	$3,382,000	$3,437,751
252.	Brook Lopez	$3,382,000	$3,437,751
254.	Shai Gilgeous-Alexander	$3,375,360	$3,431,002
255.	Trey Lyles	$3,364,249	$3,419,708
256.	Ekpe Udoh	$3,360,000	$3,415,389
257.	Devin Booker	$3,314,365	$3,369,001
258.	Myles Turner	$3,294,994	$3,349,311
259.	Luke Kennard	$3,275,280	$3,329,272
260.	Troy Daniels	$3,258,539	$3,312,255
261.	Kelly Oubre	$3,208,630	$3,261,523
262.	Miles Bridges	$3,206,640	$3,259,500
263.	Marquese Chriss	$3,206,160	$3,259,013
264.	Tomas Satoransky	$3,129,187	$3,180,771
265.	Bryn Forbes	$3,125,000	$3,176,515
266.	Donovan Mitchell	$3,111,480	$3,162,772
267.	Terry Rozier	$3,050,389	$3,100,674
268.	Jerome Robinson	$3,050,160	$3,100,441
269.	Yogi Ferrell	$3,000,000	$3,049,454
269.	Elfrid Payton	$3,000,000	$3,049,454
271.	Bam Adebayo	$2,955,840	$3,004,566
272.	Jakob Poeltl	$2,947,320	$2,995,906
273.	Michael Porter	$2,894,160	$2,941,869
274.	Andrew Nicholson	$2,844,429	$2,891,318
275.	Justin Jackson	$2,807,880	$2,854,167
276.	Thon Maker	$2,799,720	$2,845,872
277.	Seth Curry	$2,795,000	$2,841,075
278.	Cedi Osman	$2,775,000	$2,820,745
279.	Sam Dekker	$2,760,094	$2,805,593
280.	Troy Brown	$2,752,680	$2,798,057
281.	Justin Patton	$2,667,600	$2,711,574
281.	Guerschon Yabusele	$2,667,600	$2,711,574
283.	Domantas Sabonis	$2,659,800	$2,703,646
284.	Jerian Grant	$2,639,313	$2,682,821
285.	Zhaire Smith	$2,615,160	$2,658,270
286.	Corey Brewer	$2,559,925	$2,602,124
287.	Delon Wright	$2,536,898	$2,578,718
288.	DJ Wilson	$2,534,280	$2,576,057
289.	Dario Saric	$2,526,840	$2,568,494
289.	Taurean Prince	$2,526,840	$2,568,494
291.	Justin Anderson	$2,516,047	$2,557,523
292.	Shelvin Mack	$2,512,601	$2,554,019
293.	Manu Ginobili	$2,500,000	$2,541,212
293.	Reggie Bullock	$2,500,000	$2,541,212
295.	Bobby Portis	$2,494,346	$2,535,464
296.	Dante Cunningham	$2,487,000	$2,527,997
297.	Donte DiVincenzo	$2,484,360	$2,525,314
298.	Rondae Hollis-Jefferson	$2,470,356	$2,511,079
299.	Tyus Jones	$2,444,052	$2,484,341
300.	Jarell Martin	$2,416,221	$2,456,052
301.	Greg Monroe	$2,410,167	$2,449,896
302.	TJ Leaf	$2,407,560	$2,447,248
303.	Georgios Papagiannis	$2,400,480	$2,440,051
304.	Jeff Green	$2,393,887	$2,433,349
304.	Amir Johnson	$2,393,887	$2,433,349
304.	Raymond Felton	$2,393,887	$2,433,349
304.	Dwyane Wade	$2,393,887	$2,433,349
304.	Udonis Haslem	$2,393,887	$2,433,349
304.	JaVale McGee	$2,393,887	$2,433,349
304.	Zaza Pachulia	$2,393,887	$2,433,349
304.	Jose Calderon	$2,393,887	$2,433,349
304.	Devin Harris	$2,393,887	$2,433,349
304.	Channing Frye	$2,393,887	$2,433,349
304.	Carmelo Anthony	$2,393,887	$2,433,349
304.	Vince Carter	$2,393,887	$2,433,349
316.	Lonnie Walker	$2,360,160	$2,399,066
317.	John Collins	$2,299,080	$2,336,979
318.	Denzel Valentine	$2,280,600	$2,318,195
319.	Larry Nance Jr	$2,272,390	$2,309,850
320.	Kevin Huerter	$2,250,960	$2,288,066
321.	Monta Ellis	$2,245,400	$2,282,415
322.	Harry Giles	$2,207,040	$2,243,422
323.	Darius Miller	$2,205,000	$2,241,349
324.	Henry Ellenson	$2,199,311	$2,235,566
325.	Derrick Rose	$2,176,260	$2,212,135
325.	Omri Casspi	$2,176,260	$2,212,135
327.	Juan Hernangomez	$2,166,360	$2,202,072
328.	Quincy Pondexter	$2,165,481	$2,201,178
328.	Jonas Jerebko	$2,165,481	$2,201,178
330.	Josh Okogie	$2,163,600	$2,199,266
331.	Nik Stauskas	$2,161,886	$2,197,523
332.	Terrance Ferguson	$2,118,840	$2,153,768
333.	Raul Neto	$2,100,000	$2,134,618
334.	Salah Mejri	$2,098,196	$2,132,784
335.	Grayson Allen	$2,076,960	$2,111,198
336.	Jarrett Allen	$2,034,120	$2,067,652
337.	Isaiah Thomas	$2,029,463	$2,062,918
338.	Spencer Hawes	$2,007,058	$2,040,144
339.	Cole Aldrich	$2,000,000	$2,032,969
339.	Torrey Craig	$2,000,000	$2,032,969
341.	Chandler Hutchison	$1,991,520	$2,024,349
342.	OG Anunoby	$1,952,760	$1,984,950
342.	Ante Zizic	$1,952,760	$1,984,950
344.	Shabazz Napier	$1,942,422	$1,974,442
